,STATION,TIME,ENTRIES,EXITS,ENTRIES_COUNT,EXITS_COUNT,FTRAFFIC
4141,NEVINS ST,Tue Mor,3118539.105555556,2989543.605555556,160.79444444444445,211.89444444444445,372.68888888888887
4142,NEVINS ST,Wed Aft,3120190.433333333,2991046.2944444446,319.1611111111111,244.86111111111111,564.0222222222222
4143,NEVINS ST,Wed Mor,3141964.4571428574,2987335.931428571,166.57714285714286,222.34285714285716,388.92
4144,NEW LOTS,Fri Aft,4742059.037037037,6318913.740740741,339.27777777777777,311.77777777777777,651.0555555555555
4145,NEW LOTS,Fri Mor,4741560.148148148,6318496.518518519,759.0370370370371,225.66666666666666,984.7037037037037
4146,NEW LOTS,Mon Aft,4734715.074074074,6312269.777777778,275.1111111111111,255.40740740740742,530.5185185185185
4147,NEW LOTS,Mon Mor,4734312.148148148,6311930.407407408,593.4074074074074,179.74074074074073,773.1481481481482
4148,NEW LOTS,Sat Aft,4732404.037037037,6310132.592592592,243.38888888888889,211.55555555555554,454.94444444444446
4149,NEW LOTS,Sat Mor,4732045.555555556,6309841.111111111,248.66666666666666,115.03703703703704,363.7037037037037
4150,NEW LOTS,Sun Aft,4733326.277777778,6311169.685185186,196.22222222222223,165.03703703703704,361.25925925925924
